id,word
1,animal
2,smile
3,teeth
4,nature
5,science
6,future
7,architecture
8,art
9,design
10,spain
11,valencia
12,geography
13,birds
14,fly
15,sea
16,sky
17,new york
18,city
19,traffic
20,urban
21,reptile
22,iguana
23,energy
24,wind
25,museum
26,love
27,creative
28,idea
29,mom
30,close
31,optical
32,disc
33,compact disc
34,music
35,light
36,laser
37,color
38,flower
39,air
40,smell
41,battery
42,electric
43,rome
44,history
45,roman
46,temple
47,god
48,ancient
49,lawn
50,ear
51,wood
52,paper
53,river
54,bridge
55,water
56,bee
57,honey
58,gas
59,fire
60,energie
61,school
62,computer
63,maths
64,student
65,mother
66,woman
67,colored
68,walk
69,modern
70,peacock
71,bird
72,people
73,culture
74,money
75,airport
76,london
77,departure
78,underground
79,train
80,plane
81,egypt
82,dna
83,chemical
84,organic
85,polymer
86,basic
87,space
88,planet
89,interview
90,power
91,numbers
92,principles
93,digital
94,sound
95,audio
96,song
97,atom
98,neutrons
99,molecules
100,electrons
101,bacteria
102,microscope
103,experiment
104,laboratory
105,cellular
106,organism
107,liquid
108,sun
109,chemistry
110,ionic
111,mathematics
112,calculation
113,equation
114,geometry
115,solid
116,constructions
117,floors
118,objects
119,renato zero
120,triangle
121,lab
122,snail
123,invertebrate
124,ice
125,titanic
126,iceberg
127,tragedy
128,star
129,virus
130,biology
131,museo
132,logo
133,arte
134,basquiat
135,usa
136,pain
137,paint
138,samo
139,ny
140,ghost
141,face
142,english
143,taxi
144,car
145,duffy
146,pop
147,lonfon
148,phenomenon
149,catastrophe
150,predictions
151,maya
152,apple
153,egon schiele
154,portrait
155,painting
156,paintings
157,self-portrait
158,worhol
159,painter
160,expressionism
161,astronomical
162,calendar
163,cataclysmic
164,roy
165,andy
166,warhol
167,lòkasd
168,aslk
169,cmnvbn
170,shdjfh
171,haring
172,hering
173,statue
174,angry
175,mimmo
176,rotella
177,italy
178,artist
179,wien
180,academy of fine arts
181,schiele
182,austria
183,gustav klimt
184,coca cola
185,mario schifano
186,disaster
187,prevision
188,chiapas
189,jungle
190,mexican
191,asjdlkdj
192,aisudiosd
193,asjdklj
194,zxmnc
195,female
196,male
197,calendrical
198,elephant
199,opdif
200,xmc
201,vnv
202,oil
203,brussels
204,surrealist
205,natural sciences
206,animals
207,world
208,photo
209,surrealism
210,magritte
211,photography
212,reportage
213,photojourmalism
214,hand
215,painted
216,sebastião salgado
217,social documentary
218,photographer
219,photojournalist
220,sebastião
221,photojournalism
222,alaska
223,africa
224,journalism
225,salgado
226,sebastiao salgado
227,albert
228,koudelka
229,josef koudelka
230,einstein
231,praga
232,1968
233,gypsie
234,pitagora
235,gypsies
236,stars
237,universe
238,constellation
239,ape
240,fiori
241,ecologia
242,insetti
243,ambiente
244,gatto
245,cane
246,topo
247,pesce
248,prova
249,provaa
250,film
251,misfits
252,boy
253,picture
254,subway
255,horse
256,cavallo
257,bianco
258,a
259,b
260,c
261,d
262,s
263,uff
264,pizz
265,sbuff
266,pal
267,jkahsd
268,asdkds
269,soifuidf
270,lksdjfkljdsf
271,flare
272,lights
273,sigaretta
274,ragazzo
275,television
276,musica
277,sole
278,cuore
279,amore
280,blond
281,eye
282,lens
283,asjdfsjad
284,asjdjkfk
285,iroetiiy
286,zmxcnc
287,fisica
288,matematica
289,genio
290,sregolatezza
291,rolex
292,daytona
293,nero
294,pdv
295,renna
296,natale
297,babbo natale
298,slitta
299,arts
300,visive art
469,autorizzazioni ambientali
470,via
471,vas
472,aia
473,aua
474,vinca
475,studio
476,simbolo
477,internet
478,santiapichi
479,geotermia
484,mappa
485,italia
486,impianti
487,esistenti
496,disegno
497,pale
498,eoliche
499,vento
500,rinnovabili
508,atti
509,amministrativo
510,discrezionalita
511,timbri
516,prg
517,cartina
518,strumento di pianificazio
519,popolazione
520,persone
521,gente
522,piano
523,prima
524,pagina
525,necessità
